name|symb|Cat_mcap|Cat_rank|Cat_price.USD|Cat_price.BTC|Cat_supply
Universe|UNI|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(1e+07,5e+07]
EtherSportz|ESZ|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(0,1e+07]
TidexToken|TDX|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(1e-05,5e-05]|(0,1e+07]
EarthToken|EARTH|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+08,5e+08]
UnbreakableCoin|UNB|(0,1e+07]|(200,1e+03]|(0.25,0.5]|(1e-05,5e-05]|(0,1e+07]
Ignition|IC|(0,1e+07]|(200,1e+03]|(1,10]|(0.0001,0.001]|(0,1e+07]
STRAKS|STAK|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(0,1e+07]
VIVO|VIVO|(0,1e+07]|(200,1e+03]|(0.25,0.5]|(5e-05,0.0001]|(0,1e+07]
PeepCoin|PCN|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+10,1e+12]
EthereumMovi...|EMV|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(0,1e+07]
Shekel|JEW|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(1e+08,5e+08]
Zetacoin|ZET|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+08,5e+08]
NuShares|NSR|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+09,1e+10]
InPay|INPAY|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(1e-05,5e-05]|(0,1e+07]
LiveStars|LIVE|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(1e+07,5e+07]
SpeedMining...|SMS|(0,1e+07]|(200,1e+03]|(1,10]|(0.001,0.01]|(0,1e+07]
Bitdeal|BDL|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+08,5e+08]
EBCH|EBCH|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(1e-05,5e-05]|(0,1e+07]
ZINC|ZINC|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(0,1e+07]
Magnet|MAG|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(1e+07,5e+07]
Blocklancer|LNC|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+08,5e+08]
Dinastycoin|DCY|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+09,1e+10]
Cazcoin|CAZ|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(1e+07,5e+07]
bitJob|STU|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(1e+07,5e+07]
Darcrus|DAR|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(5e-06,1e-05]|(1e+07,5e+07]
ConnectJob|CJT|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+08,5e+08]
Ellaism|ELLA|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(1e-05,5e-05]|(0,1e+07]
Authorship|ATS|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(5e+07,1e+08]
Machinecoin|MAC|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(1e-06,5e-06]|(1e+07,5e+07]
InflationCoin|IFLT|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+10,1e+12]
TheCypherfunks|FUNK|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+10,1e+12]
DatariusCredit|DTRC|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+08,5e+08]
Emphy|EPY|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(1e-05,5e-05]|(0,1e+07]
MAZA|MAZA|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+09,1e+10]
Kolion|KLN|(0,1e+07]|(200,1e+03]|(0.5,1]|(0.0001,0.001]|(0,1e+07]
FirstCoin|FRST|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(1e+07,5e+07]
MoreCoin|MORE|(0,1e+07]|(200,1e+03]|(0.25,0.5]|(1e-05,5e-05]|(0,1e+07]
Transcodium|TNS|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(1e+07,5e+07]
Manna|MANNA|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+08,5e+08]
Innova|INN|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(0,1e+07]
Renos|RNS|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(1e+07,5e+07]
Musiconomi|MCI|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(1e+07,5e+07]
Suretly|SUR|(0,1e+07]|(200,1e+03]|(1,10]|(0.0001,0.001]|(0,1e+07]
Origami|ORI|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(0,1e+07]
MetalCoin|METAL|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(5e+07,1e+08]
UniCoin|UNIC|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(0,1e+07]
FantasyCash|FANS|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(0,1e+07]
UnitedCrypto...|UCOM|(0,1e+07]|(200,1e+03]|(0.25,0.5]|(5e-05,0.0001]|(0,1e+07]
Qvolta|QVT|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(1e-05,5e-05]|(0,1e+07]
NetCoin|NET|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(5e+08,1e+09]
vTorrent|VTR|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(5e-06,1e-05]|(1e+07,5e+07]
Bitzeny|ZNY|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(5e+07,1e+08]
